artist_1,artist_2,weight
Central Cee,Dave,391
D-Block Europe,cassö,348
RAYE,cassö,348
D-Block Europe,RAYE,348
Madonna,The Weeknd,208
Bou,Flowdan,196
Bou,Chase & Status,196
Chase & Status,Flowdan,196
Becky Hill,Chase & Status,157
CamrinWatsin,bbyclose,148
BL3SS,CamrinWatsin,148
BL3SS,bbyclose,148
Kanye West,Ty Dolla $ign,144
Hannah Laing,RoRo,143
Calvin Harris,Ellie Goulding,132
Clementine Douglas,MK,116
MK,Sonny Fodera,116
Clementine Douglas,Sonny Fodera,116
Charlotte Plank,Rudimental,115
Charlotte Plank,Vibe Chemistry,115
Ice Spice,PinkPantheress,115
Rudimental,Vibe Chemistry,115
Fred again..,Obongjayar,113
Bruno Mars,Lady Gaga,103
Adam Port,Keinemusik,102
Adam Port,Stryv,102
Clementine Douglas,The Blessed Madonna,102
Chase & Status,Stormzy,102
Keinemusik,Stryv,102
Ella Henderson,Robert Miles,102
Ella Henderson,Switch Disco,102
Robert Miles,Switch Disco,102
Ty Dolla $ign,¥$,101
Kanye West,¥$,101
Ice Spice,Nicki Minaj,100
Aqua,Nicki Minaj,100
Aqua,Ice Spice,100
Future,Metro Boomin,96
Morgan Wallen,Post Malone,95
Ella Henderson,Rudimental,91
Billy Gillies,Hannah Boleyn,89
Central Cee,Lil Baby,88
Playboi Carti,The Weeknd,86
Joel Corry,Nathan Dawe,85
Ella Henderson,Nathan Dawe,85
Ella Henderson,Joel Corry,85
David Guetta,OneRepublic,84
D.O.D,Jazzy,76
D.O.D,Sonny Fodera,76
Jazzy,Sonny Fodera,76
Ava Max,Kygo,74
Badger,Natasha Bedingfield,72
Calvin Harris,Sam Smith,70
Billie Eilish,Charli xcx,69
ANOTR,Abel Balder,67
Anne-Marie,David Guetta,60
Coi Leray,David Guetta,60
Anne-Marie,Coi Leray,60
Jung Kook,Latto,52
Olivia Rodrigo,Rachel Zegler,51
Flatland Cavalry,Rachel Zegler,51
Flatland Cavalry,Olivia Rodrigo,51
Bebe Rexha,David Guetta,50
Lily-Rose Depp,The Weeknd,43
JENNIE,Lily-Rose Depp,43
JENNIE,The Weeknd,43
David Guetta,Zara Larsson,42
Hanumankind,Kalmi,40
Bruno Mars,ROSÉ,39
Drake,J Hus,36
Noah Kahan,Sam Fender,35
Marvin Gaye,Tammi Terrell,35
KSI,Trippie Redd,30
Ed Sheeran,Elton John,27
Central Cee,Ice Spice,27
Madonna,Playboi Carti,26
Anne-Marie,Shania Twain,24
Drake,SZA,19
Bing Crosby,Fred Astaire,17
Fredo,Stormzy,16
ArrDee,Chase & Status,15
ArrDee,Hedex,15
The Weeknd,Travis Scott,15
Chase & Status,Hedex,15
Bad Bunny,The Weeknd,15
Bad Bunny,Travis Scott,15
goddard.,venbee,13
Bou,Slay,12
Fred again..,Jozzy,11
J. Cole,Lil Durk,10
"Baddiel, Skinner",Lightning Seeds,10
Mason,Princess Superstar,9
Cynthia Erivo,Wicked Movie Cast,9
Ariana Grande,Cynthia Erivo,9
Ariana Grande,Wicked Movie Cast,9
GRM Daily,Nines,8
Central Cee,Drake,8
Central Cee,Jung Kook,8
Jung Kook,The Kid LAROI,8
Central Cee,The Kid LAROI,8
Lana Del Rey,Quavo,7
Hozier,Noah Kahan,7
Clavish,D-Block Europe,7
Anderson .Paak,Fred again..,6
Anderson .Paak,CHIKA,6
BabyTron,Big Sean,6
"Baddiel, Skinner",The Lightning Seeds,6
RAYE,Stormzy,6
Lightning Seeds,The Lightning Seeds,6
Big Sean,Eminem,6
CHIKA,Fred again..,6
Charli xcx,Lorde,6
BabyTron,Eminem,6
Anitta,The Weeknd,5
Jack Harlow,Jung Kook,5
Eliza Rose,Interplanetary Criminal,5
Dave,Lyrical Lemonade,5
Luke Combs,Post Malone,5
Noah Kahan,Post Malone,4
Fire,sped up + slowed,4
Background White Noise,Dream Supplier,4
"Earth, Wind",Fire,4
Baby Sleeps,Background White Noise,4
Baby Sleeps,Dream Supplier,4
"Earth, Wind",sped up + slowed,4
Blake Shelton,Post Malone,4
Busta Rhymes,O.T,3
"Bobby ""Boris"" Pickett",The Crypt-Kickers,3
Elesia Iimura,O.T,3
Busta Rhymes,Elesia Iimura,3
Flex (UK),Nate Dogg,3
Lost Frequencies,Tom Odell,2
BTS,Jung Kook,2
Beyoncé,Kendrick Lamar,2
Headie One,K-Trap,2
BTS,Latto,2
4batz,Drake,1
Arcane,Stromae,1
Arcane,Pomme,1
Dave,Tiakola,1
BERKO CHAMP,citosxd,1
Becky Hill,Sonny Fodera,1
BERKO CHAMP,LEXMENDY,1
Charli xcx,Troye Sivan,1
LEXMENDY,citosxd,1
Pomme,Stromae,1
